Song,Artist(s),Writer(s),Album(s),Year
"""No Control""",One Direction,Liam Payne Louis Tomlinson Ruth-Anne Cunningham Jamie Scott Julian Bunetta John Ryan,Four,2014
"""Nobody Compares""",One Direction,Rami Yacoub Carl Falk Savan Kotecha Shellback,Take Me Home,2012
"""Olivia""",One Direction,Harry Styles John Ryan Julian Bunetta,Made in the A.M.,2015
"""Once in a Lifetime""",One Direction,Jamie Scott Julian Bunetta John Ryan,Four,2014
"""One Thing""",One Direction,Rami Yacoub Carl Falk Savan Kotecha,Up All Night,2011
"""One Way or Another (Teenage Kicks)""",One Direction,Debbie Harry Nigel Harrison John O'Neill,â,2013
"""Over Again""",One Direction,Ed Sheeran Robert Conlon Alexander Gowers,Take Me Home,2012
"""Perfect""",One Direction,Harry Styles Louis Tomlinson Julian Bunetta Jesse Shatkin Jacob Kasher John Ryan Maureen Anne McDonald,Made in the A.M.,2015
"""Ready to Run""",One Direction,Louis Tomlinson Liam Payne Jamie Scott Julian Bunetta John Ryan,Four,2014
"""Right Now""",One Direction,Ryan Tedder Harry Styles Liam Payne Louis Tomlinson,Midnight Memories,2013
"""Rock Me""",One Direction,Lukasz Gottwald Henry Walter Peter Svensson Allan Grigg Sam Hollander,Take Me Home,2012
"""Same Mistakes""",One Direction,Steve Robson Wayne Hector Harry Styles Liam Payne Louis Tomlinson Niall Horan Zayn Malik,Up All Night,2011
"""Save You Tonight""",One Direction,RedOne BeatGeek Jimmy Joker Teddy Sky Achraf Jannusi Alaina Beaton Savan Kotecha,Up All Night,2011
"""She's Not Afraid""",One Direction,Jamie Scott John Ryan Julian Bunetta,Take Me Home,2012
"""Something Great""",One Direction,Jacknife Lee Gary Lightbody Harry Styles,Midnight Memories,2013
"""Spaces""",One Direction,Liam Payne Louis Tomlinson Jamie Scott Julian Bunetta John Ryan,Four,2014
"""Stand Up""",One Direction,Roy Stride Josh Wilkinson,Up All Night,2011
"""Steal My Girl""",One Direction,Wayne Hector John Ryan Julian Bunetta Ed Drewett Louis Tomlinson Liam Payne,Four,2014
"""Still the One""",One Direction,Rami Yacoub Carl Falk Savan Kotecha Harry Styles Liam Payne Louis Tomlinson,Take Me Home,2012
"""Stockholm Syndrome""",One Direction,Harry Styles Julian Bunetta John Ryan Johan Carlsson,Four,2014
"""Stole My Heart""",One Direction,Jamie Scott Paul Meehan,Up All Night,2011
"""Story of My Life""",One Direction,Jamie Scott Julian Bunetta John Ryan Harry Styles Liam Payne Louis Tomlinson Niall Horan Zayn Malik,Midnight Memories,2013
"""Strong""",One Direction,Jamie Scott Julian Bunetta John Ryan Louis Tomlinson,Midnight Memories,2013
"""Summer Love""",One Direction,Steve Robson Wayne Hector Lindy Robbins Harry Styles Liam Payne Louis Tomlinson Niall Horan Zayn Malik,Take Me Home,2012
"""Taken""",One Direction,Toby Gad Lindy Robbins Harry Styles Liam Payne Louis Tomlinson Niall Horan Zayn Malik,Up All Night,2011
"""Tell Me a Lie""",One Direction,Kelly Clarkson Tom Meredith Shep Solomon,Up All Night,2011
"""Temporary Fix""",One Direction,Niall Horan Wayne Hector TMS,Made in the A.M.,2015
"""They Don't Know About Us""",One Direction,Tebey Ottoh Tommy Lee James Peter Wallevik Tommy P Gregersen,Take Me Home,2012
"""Through the Dark""",One Direction,Jamie Scott Toby Smith Liam Payne Louis Tomlinson,Midnight Memories,2013
"""Truly, Madly, Deeply""",One Direction,Trevor Dahl Toby Gad Lindy Robbins,Take Me Home,2012
"""Up All Night""",One Direction,Savan Kotecha Matt Squire,Up All Night,2011
"""Walking in the Wind""",One Direction,Harry Styles Julian Bunetta Jamie Scott John Ryan,Made in the A.M.,2015
"""What a Feeling""",One Direction,Liam Payne Louis Tomlinson Mike Needle Daniel Bryer Jamie Scott,Made in the A.M.,2015
"""What Makes You Beautiful""",One Direction,Rami Yacoub Carl Falk Savan Kotecha,Up All Night,2011
"""Where Do Broken Hearts Go""",One Direction,Harry Styles Julian Bunetta Ruth-Anne Cunningham Theodore Geiger Ali Tamposi,Four,2014
"""Why Don't We Go There""",One Direction,Steve Robson Claude Kelly Wayne Hector Louis Tomlinson,Midnight Memories,2013
"""Wishing on a Star""",The X Factor Finalists 2011 featuring JLS and One Direction,Billie Rae Calvin,â,2011
"""Wolves""",One Direction,Niall Horan Liam Payne Will Champlin Andrew Haas Ian Franzino,Made in the A.M.,2015
"""You & I""",One Direction,Jamie Scott Julian Bunetta Niall Horan John Ryan,Midnight Memories,2013
